time,top_1,top_5
65.6489,True,True
65.7323,True,True
65.8157,True,True
65.8992,True,True
65.9826,True,True
66.066,True,True
66.1494,False,True
66.2328,False,True
66.3162,False,True
66.3997,True,True
66.4831,True,True
66.5665,True,True
66.6499,True,True
66.7333,True,True
66.8167,False,True
66.9002,False,True
66.9836,False,True
67.067,False,False
67.1504,False,False
67.2338,False,False
67.3173,False,False
67.4007,False,False
67.4841,False,False
67.5675,False,False
67.6509,False,False
67.7343,False,False
67.8178,False,False
67.9012,False,False
67.9846,False,False
68.068,False,False
68.1514,False,False
68.2348,False,True
68.3183,False,True
68.4017,False,True
68.4851,False,True
68.5685,False,True
68.6519,False,True
68.7353,True,True
68.8187,False,True
68.9022,False,True
68.9856,False,True
69.069,True,True
69.1524,True,True
69.2358,True,True
69.3192,True,True
69.4027,True,True
69.4861,True,True
69.5695,True,True
69.6529,True,True
69.7363,True,True
69.8197,True,True
69.9032,True,True
69.9866,True,True
70.07,True,True
70.1534,True,True
70.2368,True,True
70.3203,True,True
70.4037,True,True
70.4871,True,True
70.5705,True,True
70.6539,True,True
70.7373,True,True
70.8208,True,True
70.9042,True,True
70.9876,True,True
71.071,False,False
71.1544,False,False
71.2378,False,False
71.3213,False,False
71.4047,False,False
71.4881,False,False
71.5715,False,False
71.6549,False,False
71.7383,False,False
71.8217,False,True
71.9052,False,False
71.9886,False,False
72.072,False,False
72.1554,False,False
72.2388,False,False
72.3222,False,False
72.4057,False,False
72.4891,False,False
72.5725,False,False
72.6559,False,False
72.7393,False,False
72.8227,False,False
72.9062,False,False
72.9896,False,False
73.073,False,False
73.1564,False,False
73.2398,False,False
73.3233,False,False
73.4067,False,False
73.4901,False,False
73.5735,False,False
73.6569,False,False
73.7403,False,False
73.8238,False,False
73.9072,False,False
73.9906,False,False
74.074,False,False
74.1574,False,False
74.2408,False,False
74.3243,False,False
74.4077,False,False
74.4911,False,False
74.5745,False,False
74.6579,False,False
74.7413,False,False
74.8247,False,False
74.9082,False,False
74.9916,False,False
75.075,False,False
75.1584,False,False
75.2418,False,False
75.3252,False,False
75.4087,False,False
75.4921,False,True
75.5755,False,True
75.6589,False,True
75.7423,False,True
75.8257,False,False
75.9092,False,False
75.9926,False,True
76.076,False,True
76.1594,False,True
76.2428,False,True
76.3263,False,True
76.4097,False,False
76.4931,False,False
76.5765,False,False
76.6599,False,False
76.7433,False,False
76.8268,False,False
76.9102,False,False
76.9936,False,False
77.077,False,False
77.1604,False,False
77.2438,False,False
77.3273,False,False
77.4107,False,False
77.4941,False,False
77.5775,False,False
77.6609,False,False
77.7443,False,False
77.8277,False,False
77.9112,False,False
77.9946,False,False
78.078,False,False
78.1614,False,False
78.2448,False,True
78.3282,False,True
78.4117,False,True
78.4951,False,True
78.5785,False,True
78.6619,False,True
78.7453,False,True
78.8287,False,True
78.9122,False,True
78.9956,False,False
79.079,False,False
79.1624,False,False
79.2458,False,False
79.3293,False,False
79.4127,False,False
79.4961,False,False
79.5795,False,False
79.6629,False,False
79.7463,False,False
79.8298,False,False
79.9132,False,False
79.9966,False,False
80.08,False,False
80.1634,False,False
80.2468,False,False
80.3303,False,False
80.4137,False,False
80.4971,False,False
80.5805,False,False
80.6639,False,False
80.7473,False,False
80.8307,False,False
80.9142,False,False
80.9976,False,True
81.081,False,True
81.1644,False,True
81.2478,False,True
81.3312,False,True
